id,created_at,updated_at,fecha,client_id,vencimiento,nota,subsidiary_id,retefuente,reteica,principal,pronto_pago,fecha_pago,facturable,status,uso,valor_pagado,subtotal,total,iva,fecha_fe,category
6743,2022-02-04 15:24:30.748009,2022-03-02 14:42:13.927793,2022-02-04,1323,2022-02-11,,1409,1,,1,0.0,,0,3,1,0,55000.0,55000.0,0.0,2022-02-04,Unidades Residenciales
6824,2022-02-11 16:40:44.956762,2022-02-12 15:04:07.691932,2022-02-11,2683,2022-02-25,,2964,1,,1,0.0,,0,3,1,0,81000.0,81000.0,0.0,2022-02-11,Industria de Alimentos
7018,2022-02-26 17:07:33.17932,2022-02-28 13:12:29.540902,2022-02-26,2847,2022-03-05,,3187,1,,1,0.0,,0,3,1,0,12000.0,12000.0,0.0,2022-02-26,Hogar
6899,2022-02-16 15:12:15.260636,2022-02-18 14:16:20.690574,2022-02-16,327,2022-02-23,,325,1,,1,0.0,,0,3,1,0,45000.0,45000.0,0.0,2022-02-16,Unidades Residenciales
7187,2022-03-15 14:52:08.377998,2022-03-17 13:26:59.218618,2022-03-16,551,2022-03-23,,575,1,,1,0.0,,0,3,1,0,50000.0,50000.0,0.0,2022-03-16,Unidades Residenciales
7426,2022-04-11 15:27:16.00879,2022-04-22 14:49:54.549098,2022-04-11,1326,2022-04-11,,1412,1,,1,0.0,,0,3,1,0,45000.0,45000.0,0.0,2022-04-11,Unidades Residenciales
7188,2022-03-15 15:15:26.44014,2022-04-27 14:27:29.687318,2022-03-16,1193,2022-04-16,,1271,1,,1,0.0,,1,3,2,0,171000.0,203490.0,32490.0,2022-03-16,Unidades Residenciales
7428,2022-04-11 15:50:21.531418,2022-04-11 18:54:00.739067,2022-04-11,907,2022-04-18,,969,1,,1,0.0,,0,3,1,0,60000.0,60000.0,0.0,2022-04-11,Otras Industrias
7654,2022-05-17 14:29:37.553208,2022-05-20 18:17:36.974119,2022-05-17,538,2022-05-17,,562,1,,0,0.0,,0,3,1,0,50000.0,50000.0,0.0,2022-05-17,Unidades Residenciales
7653,2022-05-17 14:28:54.587997,2022-06-15 16:18:16.114407,2022-05-17,538,2022-05-17,,562,1,,0,0.0,,0,3,1,0,50000.0,50000.0,0.0,2022-05-17,Unidades Residenciales
7189,2022-03-15 16:20:34.147266,2022-03-16 13:28:54.141932,2022-03-15,3039,2022-03-22,,3411,1,,1,0.0,,0,3,1,0,18700.0,18700.0,0.0,2022-03-15,Otras Industrias
7424,2022-04-11 15:17:28.457054,2022-05-04 14:25:04.124253,2022-04-11,733,2022-05-10,,774,1,,1,0.0,,1,3,2,0,193500.0,230265.0,36765.0,2022-04-11,Instituciones Educativas
7430,2022-04-11 18:39:14.331865,2022-05-04 15:52:34.858092,2022-04-11,92,2022-05-11,,80,0,,1,0.0,,1,3,2,0,48000.0,57120.0,9120.0,2022-04-11,Unidades Residenciales
7656,2022-05-17 16:10:21.598253,2022-05-18 13:40:31.026286,2022-05-17,525,2022-06-17,,542,1,,1,,,1,4,2,0,505400.0,601426.0,96026.0,2022-05-19,Otras Industrias
7658,2022-05-17 16:22:21.844368,2022-11-08 22:39:40.773174,2022-05-17,93,2022-06-17,,81,1,,1,0.0,,1,3,2,0,136500.0,162435.0,25935.0,2022-05-19,Unidades Residenciales
7431,2022-04-11 18:43:29.505619,2022-05-20 16:20:48.088429,2022-04-11,177,2022-05-10,,165,1,,1,0.0,,1,3,2,0,340380.0,405052.2,64672.2,2022-04-11,Otras Industrias
6976,2022-02-23 16:01:57.624576,2022-02-24 14:23:46.83857,2022-02-23,756,2022-03-02,,805,1,,1,0.0,,0,3,1,0,40000.0,40000.0,0.0,2022-02-23,Otras Industrias
7190,2022-03-15 16:31:12.233238,2022-03-16 13:29:51.470254,2022-03-15,1797,2022-03-30,,1963,1,,1,0.0,,0,3,1,0,28800.0,28800.0,0.0,2022-03-15,Industria de Servicos
7191,2022-03-15 16:40:09.151238,2022-03-18 19:04:44.91253,2022-03-16,3041,2022-03-30,,3413,1,,1,0.0,,0,3,1,0,90000.0,90000.0,0.0,2022-03-16,Hogar
7433,2022-04-11 18:51:56.855142,2022-06-01 17:42:10.706292,2022-04-11,2679,2022-05-10,,3192,1,,1,0.0,,1,3,2,0,145910.0,173632.9,27722.9,2022-04-11,Industria de Servicos
4523,2021-06-18 22:42:48.262627,2022-03-15 19:50:45.901695,2021-06-19,1658,2021-06-26,,1815,1,,1,0.0,,0,3,1,0,135000.0,135000.0,0.0,2021-06-19,Hogar
7425,2022-04-11 15:21:38.612499,2022-04-18 15:04:12.604414,2022-04-01,77,2022-05-01,,61,0,,1,0.0,,1,3,2,0,231300.0,275247.0,43947.0,2022-04-11,Unidades Residenciales
7192,2022-03-15 19:56:00.610613,2022-03-18 13:17:24.370474,2022-03-16,2723,2022-03-23,,3007,1,,1,0.0,,0,3,1,0,55000.0,55000.0,0.0,2022-03-16,Unidades Residenciales
7378,2022-04-08 20:50:47.649161,2022-04-12 15:10:02.73441,2022-04-09,186,2022-05-07,,174,1,,1,0.0,,1,3,2,0,149150.0,177488.5,28338.5,2022-04-11,Otras Industrias
6978,2022-02-23 16:39:00.292411,2022-02-24 18:49:55.431058,2022-02-24,902,2022-03-03,,963,1,,1,0.0,,0,3,1,0,50000.0,50000.0,0.0,2022-02-24,Unidades Residenciales
6905,2022-02-16 19:49:32.742129,2022-02-16 20:45:25.618064,2022-02-16,2083,2022-02-18,,2265,1,,1,0.0,,0,3,1,0,90000.0,90000.0,0.0,2022-02-16,Unidades Residenciales
7194,2022-03-15 21:25:54.539661,2022-03-30 16:27:18.843126,2022-03-16,73,2022-04-16,,57,1,,1,0.0,,1,3,2,0,128700.0,153153.0,24453.0,2022-03-17,Unidades Residenciales
7193,2022-03-15 21:20:07.14543,2022-04-02 13:09:39.942774,2022-03-16,393,2022-04-16,,400,1,,1,0.0,,1,3,2,0,164700.0,195993.0,31293.0,2022-03-17,Otras Industrias
7434,2022-04-12 12:35:14.764861,2022-05-24 15:33:00.350998,2022-04-12,1577,2022-05-11,,1724,1,,1,0.0,,1,3,2,0,408000.0,485520.0,77520.0,2022-04-12,Otras Industrias
7435,2022-04-12 13:50:25.970523,2022-04-13 16:40:27.372162,2022-04-12,3071,2022-04-12,,3444,1,,1,0.0,,0,3,1,0,60000.0,60000.0,0.0,2022-04-12,Hogar
7664,2022-05-17 19:28:29.041417,2022-05-20 18:21:00.599496,2022-05-18,169,2022-05-18,,158,1,,0,0.0,,0,3,1,0,50000.0,50000.0,0.0,2022-05-18,Unidades Residenciales
7663,2022-05-17 17:04:05.66483,2022-08-18 14:51:24.810071,2022-05-17,1664,2022-06-17,,1960,1,,1,0.0,,1,3,2,0,42280.0,50313.2,8033.2,2022-05-19,Industria de Servicos
7657,2022-05-17 16:17:32.253463,2022-10-27 15:23:47.878337,2022-05-17,639,2022-06-17,,670,1,,1,0.0,,1,3,2,0,248800.0,296072.0,47272.0,2022-05-19,Unidades Residenciales
7195,2022-03-15 22:15:13.833788,2022-11-08 19:21:52.543788,2022-03-16,383,2022-04-16,,390,1,,1,0.0,,1,3,2,0,123500.0,146965.0,23465.0,2022-03-17,Unidades Residenciales
7432,2022-04-11 18:47:41.212764,2022-12-28 15:58:39.728434,2022-04-11,2720,2022-05-10,,3005,1,,1,0.0,,1,4,2,0,79300.0,94367.0,15067.0,2022-04-11,Unidades Residenciales
9798,2022-12-30 00:19:43.042131,2023-01-30 22:25:01.824966,2022-12-30,2709,2023-01-30,,2993,1,,1,0.0,,1,3,2,0,318000.0,378420.0,60420.0,2023-01-06,Unidades Residenciales
7196,2022-03-15 22:22:05.356398,2022-03-29 22:41:27.457939,2022-03-16,384,2022-04-16,,391,1,,1,0.0,,1,3,2,0,123500.0,146965.0,23465.0,2022-03-17,Unidades Residenciales
7436,2022-04-12 14:06:07.96079,2022-05-02 17:34:23.943909,2022-04-12,2120,2022-05-11,,2308,1,,1,0.0,,1,3,2,0,128250.0,152617.5,24367.5,2022-04-12,Unidades Residenciales
6908,2022-02-16 22:29:48.350939,2022-02-18 14:09:23.169398,2022-02-17,3017,2022-03-02,,3384,1,,1,0.0,,0,3,1,0,90000.0,90000.0,0.0,2022-02-17,Hogar
12368,2023-10-07 18:47:12.706516,2023-11-10 19:25:45.771459,2023-10-10,423,2023-11-22,,439,1,,1,,,1,1,1,0,266950.0,317670.5,50720.5,2023-10-08,Otras Industrias
7197,2022-03-15 22:28:32.0349,2022-03-17 13:26:06.767139,2022-03-16,2450,2022-04-06,,2674,1,,1,0.0,,0,3,1,0,37400.0,37400.0,0.0,2022-03-16,Unidades Residenciales
7437,2022-04-12 14:31:46.839622,2022-04-28 22:45:01.944629,2022-04-12,1442,2022-04-30,EL CLIENTE ABONA $63.000,1551,1,,1,0.0,,0,3,1,0,90000.0,90000.0,0.0,2022-04-12,Unidades Residenciales
7666,2022-05-17 19:43:18.982805,2022-06-01 17:34:44.718458,2022-05-18,169,2022-06-18,,158,1,,1,0.0,,1,3,2,0,230850.0,274711.5,43861.5,2022-05-19,Unidades Residenciales
6909,2022-02-16 22:34:35.657957,2022-02-18 14:16:56.779466,2022-02-17,448,2022-03-03,,464,1,,1,0.0,,0,3,1,0,50000.0,50000.0,0.0,2022-02-17,Unidades Residenciales
7178,2022-03-14 19:42:10.737107,2022-03-16 13:26:09.06431,2022-03-14,516,2022-04-14,,533,1,,1,0.0,,1,3,2,0,59000.0,70210.0,11210.0,2022-03-14,Otras Industrias
7438,2022-04-12 15:41:53.069387,2022-06-06 16:04:27.152405,2022-04-13,3003,2022-05-12,,3370,1,,1,0.0,,1,3,2,0,108000.0,128520.0,20520.0,2022-04-13,Industria Hotelera
7439,2022-04-12 16:26:01.761786,2022-04-12 20:14:37.299518,2022-04-12,3075,2022-04-12,,3448,1,,1,0.0,,0,3,1,0,12000.0,12000.0,0.0,2022-04-12,Hogar
7041,2022-03-01 22:27:16.261773,2022-03-02 15:07:35.370488,2022-03-02,1669,2022-03-09,,3397,1,,1,0.0,,0,3,1,0,105000.0,105000.0,0.0,2022-03-02,Hogar
7045,2022-03-02 14:55:32.689407,2022-03-02 15:09:28.066419,2022-03-02,3031,2022-03-09,,3399,1,,1,0.0,,0,3,1,0,12000.0,12000.0,0.0,2022-03-02,Hogar
7440,2022-04-12 16:30:15.961848,2022-04-18 14:55:51.152308,2022-04-13,3072,2022-04-20,,3445,1,,1,0.0,,0,3,1,0,210000.0,210000.0,0.0,2022-04-13,Hogar
6982,2022-02-23 21:01:22.714446,2022-05-12 19:13:51.759835,2022-02-24,2693,2022-03-24,,2975,1,,1,0.0,,1,3,2,0,152000.0,180880.0,28880.0,2022-02-24,Unidades Residenciales
7669,2022-05-17 22:27:12.838789,2022-05-20 18:27:42.67415,2022-05-18,576,2022-05-18,,601,1,,1,0.0,,0,3,1,0,55000.0,55000.0,0.0,2022-05-18,Otras Industrias
7441,2022-04-12 17:02:02.111248,2022-04-18 15:14:45.60893,2022-04-13,3073,2022-04-26,,3446,1,,1,0.0,,0,3,1,0,270000.0,270000.0,0.0,2022-04-13,Industria de Servicos
7199,2022-03-16 19:22:30.159072,2022-05-12 19:09:36.515614,2022-03-16,173,2022-04-16,,2320,1,,1,0.0,,1,3,2,0,185090.0,220257.1,35167.1,2022-05-05,Instituciones Educativas
7665,2022-05-17 19:37:53.504465,2022-07-12 14:13:25.735762,2022-05-18,1911,2022-06-18,,2078,1,,1,0.0,,1,3,2,0,153000.0,182070.0,29070.0,2022-05-19,Otras Industrias
7198,2022-03-16 19:12:20.97435,2022-08-17 01:16:54.631494,2022-03-16,814,2022-04-16,,867,1,,1,0.0,,1,3,2,0,124200.0,147798.0,23598.0,2022-03-17,Unidades Residenciales
7667,2022-05-17 20:54:43.790375,2022-08-11 16:23:14.50137,2022-05-18,99,2022-06-18,,87,1,,1,0.0,,1,3,2,0,188100.0,223839.0,35739.0,2022-05-19,Unidades Residenciales
7200,2022-03-16 20:04:36.295735,2022-04-01 16:21:14.913952,2022-03-16,2424,2022-04-16,,2642,1,,1,0.0,,1,3,2,0,743500.0,884765.0,141265.0,2022-03-17,Unidades Residenciales
7442,2022-04-12 17:51:04.391649,2022-04-18 14:55:08.814187,2022-04-13,101,2022-04-13,,89,1,,1,0.0,,0,3,1,0,45000.0,45000.0,0.0,2022-04-13,Unidades Residenciales
6829,2022-02-11 18:38:56.04451,2022-03-15 19:14:19.757373,2022-02-11,78,2022-03-11,,64,1,,1,0.0,,1,3,2,0,405600.0,482664.0,77064.0,2022-02-11,Otras Industrias
7201,2022-03-16 20:25:03.996842,2022-03-31 14:00:39.920939,2022-03-17,2379,2022-04-16,,2592,1,,1,0.0,,1,3,2,0,165000.0,196350.0,31350.0,2022-03-17,Unidades Residenciales
7443,2022-04-12 20:01:37.351652,2022-04-18 14:56:38.788187,2022-04-12,3072,2022-04-12,,3445,1,,1,0.0,,0,3,1,0,120000.0,120000.0,0.0,2022-04-12,Hogar
7644,2022-05-16 15:50:26.252236,2022-05-18 14:37:16.485818,2022-05-16,1376,2022-05-16,,1478,1,,0,0.0,,0,3,1,0,40000.0,40000.0,0.0,2022-05-16,Unidades Residenciales
7671,2022-05-18 14:28:49.581193,2022-05-25 14:07:38.358753,2022-05-19,2187,2022-05-19,,2386,1,,0,0.0,,0,3,1,0,60000.0,60000.0,0.0,2022-05-19,Unidades Residenciales
7202,2022-03-16 20:39:45.917674,2022-03-28 20:29:40.194301,2022-03-17,1019,2022-04-17,,1085,1,,1,0.0,,1,3,2,0,279000.0,332010.0,53010.0,2022-03-17,Unidades Residenciales
7427,2022-04-11 15:38:28.126812,2022-04-12 20:15:17.461176,2022-04-11,74,2022-04-18,,58,1,,1,0.0,,0,3,1,0,81000.0,81000.0,0.0,2022-04-11,Industria de Alimentos
7444,2022-04-12 20:14:29.145756,2022-04-18 14:57:18.622384,2022-04-13,3074,2022-04-13,,3447,1,,1,0.0,,0,3,1,0,135000.0,135000.0,0.0,2022-04-13,Industria de Servicos
7672,2022-05-18 14:42:36.23267,2022-05-20 18:36:29.454725,2022-05-19,2187,2022-05-19,,2386,1,,0,0.0,,0,3,1,0,60000.0,60000.0,0.0,2022-05-19,Unidades Residenciales
7096,2022-03-08 15:46:04.440125,2022-05-05 15:28:51.008328,2022-03-08,3034,2022-03-22,,3403,1,,1,0.0,,0,3,1,0,160000.0,160000.0,0.0,2022-03-08,Hogar
7445,2022-04-12 20:38:33.665061,2022-05-18 16:24:04.92665,2022-04-13,3077,2022-04-13,,3450,1,,1,0.0,,0,3,1,0,161500.0,161500.0,0.0,2022-04-13,Industria de Servicos
7673,2022-05-18 15:57:11.907761,2022-05-20 18:37:37.112455,2022-05-19,2187,2022-05-19,,2386,1,,1,0.0,,0,3,1,0,60000.0,60000.0,0.0,2022-05-19,Unidades Residenciales
7049,2022-03-02 15:58:52.131427,2022-03-02 17:06:17.723389,2022-03-02,3027,2022-03-09,,3394,1,,1,0.0,,0,3,1,0,120000.0,120000.0,0.0,2022-03-02,Otras Industrias
7203,2022-03-17 13:38:27.110382,2022-03-23 16:27:13.099169,2022-03-17,1797,2022-03-24,,1963,1,,1,0.0,,0,3,1,0,14400.0,14400.0,0.0,2022-03-17,Industria de Servicos
7446,2022-04-12 21:29:30.345517,2022-04-18 14:54:31.168131,2022-04-13,1052,2022-04-13,,1123,1,,1,0.0,,0,3,1,0,55000.0,55000.0,0.0,2022-04-13,Unidades Residenciales
7674,2022-05-18 16:09:17.378603,2022-05-18 20:13:18.695262,2022-05-19,2770,2022-06-18,,3102,1,,1,0.0,,0,0,1,0,108900.0,108900.0,0.0,2022-05-19,Unidades Residenciales
7050,2022-03-02 16:09:18.280048,2022-03-02 17:05:47.918663,2022-03-02,1543,2022-03-16,,1658,1,,1,0.0,,0,3,1,0,46830.0,46830.0,0.0,2022-03-02,Hogar
6986,2022-02-23 22:39:33.097519,2022-03-02 15:08:47.035633,2022-02-24,3020,2022-03-24,,3387,1,,1,0.0,,0,3,1,0,247830.0,247830.0,0.0,2022-02-24,Instituciones Educativas
